id,1,2
1099142002845892609,TrueToAtlanta,DetroitBasketball
1099130325517647873,HawksvsPistons,
1098770715090829312,WeGoHard,
1099401123906109446,Nets,Raptors
1099336830128979968,Blessed,
1099344349488386048,Blessed,
1099038188495138817,NEBHInjuryReport,
1099117418134278144,ClippersPick,
1099123786954231809,Hornets30,
1099336135350865926,NC09,ncpol
1076986664323596288,BuzzCity,
1099131381664440320,Bulls,BullsNation
1097244757330460673,Bulls,
1095884972425179136,Cavs,
1097343346496942081,NBAAllStar,
1090381124734541825,Cavs,
1095345567172050944,Browns,
1099116062266875905,MFFL,DALvsDEN
1099072813145706496,MavsAR,
1099102406254710784,Mavs,
1099155887678283776,MileHighBasketball,
1096464269460176897,NBAAllStar,MileHighBasketball
1097155343027789825,Nuggets,
1099214761047310336,Nuggets,Mavs
1098687174512427010,Nuggets,
1099141950274449414,PISTONS,DetroitBasketball
1099169582504398848,Pistons,
1099129096141971456,Pistons,
1098824306950234112,SPLASH,
1098852960753217536,JREAM,
1098812460788641797,MVP,
1098903556168519681,Rockets,TXSN
1098903556168519681,Rockets,TXSN
1099118634566381568,Pacers,
1099185737331810309,RealSmooth,
1098398405263585281,Pacers,
1099143793230708736,PrimeTicket,
1098957248817070081,LakersWin,
1095040358671503360,Lakers,
1099035969380990976,Lakers,Rockets
1099135541189230592,GrindCity,
1098682921018421251,IMHO,
1099173504828796928,PyeongChang2018,
1098661498518417409,MalcolmX,
1095789323969089536,SoakItAllUpKid,
1098766851604209666,MIAvsPHI,
1098663406998077442,justisebetter,
1099083328253321217,NBAAllStar,
1098968773338562561,drone,
1094337611336962049,mubb,
1099158570820661249,godisgood,thankful
1099158570820661249,godisgood,thankful
1099143684728279040,TWolves,
1099115997515182080,laissezlebontempsrouler,
1099113882759675905,Pelicans,NBA
1087399696602202121,MLKDay,
1099112319429177344,WHOLETEAM,
1099172526666731522,ThunderUp,
1099099748517187585,PureMagic,
1099105174923214849,Magic,Bulls
1099100419064778752,SCtop10,
1099348417132851201,HereTheyCome,
1098992144243658752,Sixers,Heat
1052771678827233280,sixers,
1099373631614914560,sixers,
1099433970435973120,TimeToRise,
1098743373869936641,SunsAtCavs,
1085251355705434112,NBAAllStar,
1098765835215212544,Suns,
1099385483514314752,RipCity,
1099107295907205121,GoSpursGo,
1099352998290120704,GoSpursGo,TakeCommand
1098851712318636032,JREAM,
1099402090735198210,NBATwitter,
1099134719134961665,RTZ,
1099156920105979904,SASatTOR,
1099160456562921472,RTZ,WeTheNorth
1099186409905172480,UTAatOKC,
1099129825187586049,DCFamily,
1099142057669656576,Wizards,
1099353498460848131,WizPacers,
